Employment,Country,Student,EdLevel,DevType,YearsCode,CompTotal,CompFreq,ConvertedComp,WorkWeekHrs,Age,Gender,Ethnicity,NormalizedAnnualCompensation
full-time,United States,No,Bachelors degree,full-stack,3,61000,Yearly,61000,80,22,Man,White,61000
full-time,New Zealand,No,No degree,Database administrator,12,138000,Yearly,95179,32,23,Man,White,138000
full-time,United States,No,Masters degree ,Data or business analyst,17,90000,Yearly,90000,40,28,Man,White,90000
full-time,United Kingdom,No,Masters degree ,full-stack,10,29000,Monthly,455352,40,26,Man,White,348000
full-time,Australia,No,Bachelors degree,Developer,5,90000,Yearly,65277,45,29,Man,Hispanic,90000
full-time,Brazil,No,No degree,full-stack,14,9500,Monthly,31140,8,31,Man,Hispanic,114000
full-time,Lithuania,No,Masters degree ,Database administrator,8,3000,Monthly,41244,140,38,Man,White,36000
full-time,United States,No,No degree,Data or business analyst,35,103000,Yearly,103000,40,47,Man,White,103000
full-time,United States,No,Bachelors degree,full-stack,3,69000,Yearly,69000,40,22,Man,Black,69000
full-time,Israel,No,Primary/elementary school,Developer,2,8000,Monthly,26388,50,23,Man,Middle Eastern,96000
full-time,South Africa,No,Associate degree,Designer,2,7000,Monthly,6300,45,22,Man,White,84000
full-time,United States,No,No degree,Designer,12,114000,Yearly,114000,40,34,Man,,114000
full-time,United States,No,Bachelors degree,Developer,4,2000,Weekly,100000,40,32,Man,White,104000
full-time,United States,No,Associate degree,full-stack,3,22000,Weekly,1100000,37,21,Man,White,1144000
full-time,Czech Republic,No,Masters degree ,full-stack,30,96000,Monthly,51312,39,44,Man,,1152000
full-time,United States,No,Bachelors degree,Database administrator,30,156000,Yearly,156000,50,42,Man,White,156000
full-time,Spain,No,Bachelors degree,Developer,9,18000,Yearly,20623,40,27,Man,Hispanic,18000
full-time,Germany,No,Bachelors degree,Developer,26,6400,Monthly,87996,39,43,Man,White,76800
full-time,Serbia,Yes,No degree,Database administrator,15,5000,Monthly,60000,42,34,Man,White,60000
full-time,India,No,Bachelors degree,Developer,7,400000,Yearly,5597,7,23,Man,Asian,400000
full-time,United States,Yes,Secondary school,full-stack,5,47300,Yearly,47300,42,18,Man,White,47300
full-time,Sweden,No,,full-stack,20,51500,Monthly,68268,40,37,Man,White,618000
full-time,China,No,Bachelors degree,Developer,13,345000,Yearly,51150,40,33,Man,Asian,345000
full-time,France,No,Masters degree ,,2,85000,Yearly,97389,40,31,Man,,85000
full-time,United States,No,Secondary school,Developer,10,107000,Yearly,107000,46,27,Man,White,107000
full-time,United States,No,No degree,Database administrator,15,66000,Yearly,66000,40,34,Man,White,66000
full-time,Netherlands,Yes,Associate degree,Data or business analyst,1,76800,Yearly,87994,45,19,Man,White,76800
full-time,Australia,No,Bachelors degree,Data or business analyst,6,50000,Yearly,36265,40,24,Man,Multiracial,50000
full-time,India,No,Bachelors degree,full-stack,9,800000,Yearly,11194,70,29,Man,Asian,800000
full-time,United States,No,Masters degree ,Designer,28,75000,Yearly,75000,40,42,Man,,75000
full-time,Philippines,No,Bachelors degree,full-stack,4,18000,Monthly,4128,8,21,Woman,Asian,216000
full-time,Ireland,No,Bachelors degree,Developer,7,100000,Yearly,114575,40,24,Man,White,100000
full-time,India,Yes,Bachelors degree,Developer,7,1250000,Yearly,17491,50,27,Woman,,1250000
full-time,United Kingdom,No,Bachelors degree,Developer,9,30000,Yearly,39254,40,32,Man,White,30000
full-time,India,Yes,Bachelors degree,full-stack,6,550000,Yearly,7696,40,25,Man,,550000
full-time,United Kingdom,No,Bachelors degree,Developer,1,,Yearly,,50,24,Man,Biracial,
full-time,India,No,Bachelors degree,full-stack,2,700000,Monthly,117540,45,22,Man,Asian,8400000
full-time,Pakistan,Yes,Bachelors degree,Designer,3,40000,Monthly,3468,40,26,Man,Middle Eastern,480000
